"","routeNo","nClaims","rank","cumPctRoutes","pctClaims","cumPctClaims"
"1","0017",52,1,0.00694444444444444,0.0780780780780781,0.0780780780780781
"2","0003",39,2,0.0138888888888889,0.0585585585585586,0.136636636636637
"3","0000",37,3,0.0208333333333333,0.0555555555555556,0.192192192192192
"4","0004",30,4,0.0277777777777778,0.045045045045045,0.237237237237237
"5","0021",24,5,0.0347222222222222,0.036036036036036,0.273273273273273
"6","0026",22,6,0.0416666666666667,0.033033033033033,0.306306306306306
"7","0006",21,7,0.0486111111111111,0.0315315315315315,0.337837837837838
"8","019A",21,8,0.0555555555555556,0.0315315315315315,0.369369369369369
"9","0005",18,9,0.0625,0.027027027027027,0.396396396396396
"10","0033",18,10,0.0694444444444444,0.027027027027027,0.423423423423423
"11","0001",17,11,0.0763888888888889,0.0255255255255255,0.448948948948949
"12","0024",17,12,0.0833333333333333,0.0255255255255255,0.474474474474474
"13","0022",14,13,0.0902777777777778,0.021021021021021,0.495495495495495
"14","019C",14,14,0.0972222222222222,0.021021021021021,0.516516516516517
"15","0009",13,15,0.104166666666667,0.0195195195195195,0.536036036036036
"16","0025",13,16,0.111111111111111,0.0195195195195195,0.555555555555556
"17","00V1",12,17,0.118055555555556,0.018018018018018,0.573573573573574
"18","019B",12,18,0.125,0.018018018018018,0.591591591591592
"19","0002",11,19,0.131944444444444,0.0165165165165165,0.608108108108108
"20","00X4",11,20,0.138888888888889,0.0165165165165165,0.624624624624625
"21","0013",10,21,0.145833333333333,0.015015015015015,0.63963963963964
"22","0014",10,22,0.152777777777778,0.015015015015015,0.654654654654655
"23","0015",10,23,0.159722222222222,0.015015015015015,0.66966966966967
"24","0016",10,24,0.166666666666667,0.015015015015015,0.684684684684685
"25","0023",8,25,0.173611111111111,0.012012012012012,0.696696696696697
"26","033A",8,26,0.180555555555556,0.012012012012012,0.708708708708709
"27","0011",6,27,0.1875,0.00900900900900901,0.717717717717718
"28","0029",6,28,0.194444444444444,0.00900900900900901,0.726726726726727
"29","0053",6,29,0.201388888888889,0.00900900900900901,0.735735735735736
"30","021A",6,30,0.208333333333333,0.00900900900900901,0.744744744744745
"31","0010",5,31,0.215277777777778,0.00750750750750751,0.752252252252252
"32","0082",5,32,0.222222222222222,0.00750750750750751,0.75975975975976
"33","0500",5,33,0.229166666666667,0.00750750750750751,0.767267267267267
"34","050A",5,34,0.236111111111111,0.00750750750750751,0.774774774774775
"35","006A",4,35,0.243055555555556,0.00600600600600601,0.780780780780781
"36","00K6",4,36,0.25,0.00600600600600601,0.786786786786787
"37","0007",3,37,0.256944444444444,0.0045045045045045,0.791291291291291
"38","0008",3,38,0.263888888888889,0.0045045045045045,0.795795795795796
